model,price,year,km,color,country
Model S,36999.0,2019,116000,Blanco,España
Model S,59900.0,2017,56000,Blanco,España
Model S,36999.0,2019,116000,Blanco,España
Model S,59900.0,2017,56000,Blanco,España
Model S,84900.0,2023,13000,Blanco,España
Model S,89900.0,2023,16000,Blanco,España
Model S,55900.0,2020,52000,Blanco,España
Model S,65000.0,2020,84000,Blanco,España
Model S,39000.0,2020,127000,Blanco,España
Model S,25000.0,2017,258000,Blanco,España
Model S,25999.0,2017,260000,Blanco,España
Model S,40500.0,2020,110000,Blanco,España
Model S,21500.0,2015,292785,Blanco,España
Model S,55900.0,2020,76800,Granate,España
Model S,37000.0,2017,61000,Granate,España
Model S,29500.0,2017,211000,Gris/Plata,España
Model S,29990.0,2017,159000,Gris/Plata,España
Model S,46500.0,2019,37500,Gris/Plata,España
Model S,39900.0,2018,94000,Gris/Plata,España
Model S,29990.0,2017,159000,Gris/Plata,España
Model S,45000.0,2017,49000,Gris/Plata,España
Model S,25990.0,2014,140000,Gris/Plata,España
Model S,78990.0,2023,39980,Gris/Plata,España
Model S,39900.0,2018,79000,Gris/Plata,España
Model S,34610.0,2018,96553,Negro,España
Model S,56990.0,2020,66056,Negro,España
Model S,51990.0,2020,94000,Negro,España
Model S,34610.0,2018,96553,Negro,España
Model S,22900.0,2017,121000,Rojo,España
Model S,24900.0,2017,184000,Rojo,España
Model S,38900.0,2019,39000,Rojo,España
Model S,21990.0,2014,233000,Rojo,España
Model 3,22999.0,2020,99000,Blanco,España
Model 3,28000.0,2020,72000,Blanco,España
Model 3,33200.0,2021,47566,Blanco,España
Model 3,33998.0,2022,57525,Blanco,España
Model 3,31900.0,2022,65672,Blanco,España
Model 3,32990.0,2021,63776,Blanco,España
Model 3,39999.0,2023,9500,Blanco,España
Model 3,44900.0,2024,16700,Granate,España
Model 3,44900.0,2024,16700,Granate,España
Model 3,29990.0,2021,86300,Granate,España
Model 3,37990.0,2023,12,Gris/Plata,España
Model 3,37990.0,2023,12,Gris/Plata,España
Model 3,24860.0,2020,28650,Gris/Plata,España
Model 3,38390.0,2023,55852,Gris/Plata,España
Model 3,32490.0,2019,23832,Gris/Plata,España
Model 3,41500.0,2022,29458,Gris/Plata,España
Model 3,26890.0,2020,38000,Gris/Plata,España
Model 3,37990.0,2020,74862,Gris/Plata,España
Model 3,19990.0,2019,135000,Gris/Plata,España
Model 3,37990.0,2023,12,Gris/Plata,España
Model 3,37990.0,2023,12,Gris/Plata,España
Model S,36999.0,2019,116000,Blanco,España
Model S,59900.0,2017,56000,Blanco,España
Model S,36999.0,2019,116000,Blanco,España
Model S,59900.0,2017,56000,Blanco,España
Model S,84900.0,2023,13000,Blanco,España
Model S,55900.0,2020,76800,Granate,España
Model S,37000.0,2017,61000,Granate,España
Model S,29990.0,2017,159000,Gris/Plata,España
Model S,46500.0,2019,37500,Gris/Plata,España
Model S,29500.0,2017,211000,Gris/Plata,España
Model S,39900.0,2018,94000,Gris/Plata,España
Model S,29990.0,2017,159000,Gris/Plata,España
Model S,45000.0,2017,49000,Gris/Plata,España
Model S,25990.0,2014,140000,Gris/Plata,España
Model S,78990.0,2023,39980,Gris/Plata,España
Model S,39900.0,2018,79000,Gris/Plata,España
Model S,46500.0,2019,37500,Gris/Plata,España
Model S,79900.0,2022,15000,Gris/Plata,España
Model S,47900.0,2018,40000,Gris/Plata,España
Model S,26900.0,2018,134000,Gris/Plata,España
Model S,46500.0,2019,37500,Gris/Plata,España
Model S,34610.0,2018,96553,Negro,España
Model S,34610.0,2018,96553,Negro,España
Model S,56990.0,2020,66056,Negro,España
Model S,51990.0,2020,94000,Negro,España
Model S,22900.0,2017,121000,Rojo,España
Model S,24900.0,2017,184000,Rojo,España
Model S,38900.0,2019,39000,Rojo,España
Model S,21990.0,2014,233000,Rojo,España
Model S,74990.0,2023,29000,Rojo,España
Model S,35500.0,2018,148000,Rojo,España
Model S,44990.0,2018,98500,Rojo,España
Model S,23700.0,2017,195000,Rojo,España
Model S,17800.0,2014,203000,Rojo,España
Model 3,31820.0,2022,30797,Blanco,España
Model 3,28990.0,2019,169800,Blanco,España
Model 3,26990.0,2020,138000,Blanco,España
Model 3,28000.0,2020,72000,Blanco,España
Model 3,44900.0,2024,16700,Granate,España
Model 3,44900.0,2024,16700,Granate,España
Model 3,29990.0,2021,86300,Granate,España
Model 3,32490.0,2019,23832,Gris/Plata,España
Model 3,26900.0,2020,95000,Gris/Plata,España
Model 3,37990.0,2023,12,Gris/Plata,España
Model 3,26990.0,2020,97000,Gris/Plata,España
Model 3,38390.0,2023,55852,Gris/Plata,España
Model 3,41500.0,2022,29458,Gris/Plata,España
Model 3,26890.0,2020,38000,Gris/Plata,España
Model 3,37990.0,2020,74862,Gris/Plata,España
Model 3,19990.0,2019,135000,Gris/Plata,España
Model 3,37990.0,2023,12,Gris/Plata,España
Model 3,37990.0,2023,12,Gris/Plata,España
Model 3,38390.0,2023,55852,Gris/Plata,España
Model 3,24850.0,2020,128000,Gris/Plata,España
Model 3,33950.0,2021,33340,Negro,España
Model 3,35500.0,2022,44580,Negro,España
Model 3,36900.0,2021,53000,Negro,España
Model 3,21999.0,2020,99000,Negro,España
Model 3,26000.0,2019,114000,Negro,España
Model 3,26990.0,2020,166000,Negro,España
