model,color,name,year,km,price
Model S,Blanco,TESLA Model S Gran Autonomia 4WD,2019,"116,000",36.999 €
Model S,Blanco,TESLA Model S P100D 4WD,2017,"56,000",59.900 €
Model S,Blanco,TESLA Model S Gran Autonomia 4WD,2019,"116,000",36.999 €
Model S,Blanco,TESLA Model S P100D 4WD,2017,"56,000",59.900 €
Model S,Blanco,TESLA Model S Plaid AWD,2023,"13,000",84.900 €
Model S,Blanco,TESLA Model S Plaid AWD,2023,"16,000",89.900 €
Model S,Blanco,TESLA Model S Ludicrous Performance 4WD,2020,"52,000",55.900 €
Model S,Blanco,TESLA Model S Ludicrous Performance 4WD,2020,"84,000",65.000 €
Model S,Blanco,TESLA Model S,2020,"127,000",39.000 €
Model S,Blanco,TESLA Model S 75 5p.,2017,"258,000",25.000 €
Model S,Blanco,TESLA Model S 90D 4WD 5p.,2017,"260,000",25.999 €
Model S,Blanco,TESLA Model S Plaid 4WD 5p.,2020,"110,000",40.500 €
Model S,Blanco,TESLA Model S,2015,"292,785",21.500 €
Model S,Granate,TESLA Model S Ludicrous Performance 4WD,2020,"76,800",55.900 €
Model S,Granate,TESLA Model S 75,2017,"61,000",37.000 €
Model S,Gris/Plata,TESLA Model S 100D 4WD,2017,"211,000",29.500 €
Model S,Gris/Plata,TESLA Model S P100D 4WD,2017,"159,000",29.990 €
Model S,Gris/Plata,TESLA Model S 75D 4WD,2019,"37,500",46.500 €
Model S,Gris/Plata,TESLA Model S 100D 4WD,2018,"94,000",39.900 €
Model S,Gris/Plata,TESLA Model S P100D 4WD,2017,"159,000",29.990 €
Model S,Gris/Plata,TESLA Model S P100D 4WD,2017,"49,000",45.000 €
Model S,Gris/Plata,TESLA Model S 90D 4WD,2014,"140,000",25.990 €
Model S,Gris/Plata,TESLA Model S AWD,2023,"39,980",78.990 €
Model S,Gris/Plata,TESLA Model S P100D 4WD,2018,"79,000",39.900 €
Model S,Negro,TESLA Model S 75D 4WD,2018,"96,553",34.610 €
Model S,Negro,TESLA Model S Ludicrous Performance 4WD,2020,"66,056",56.990 €
Model S,Negro,TESLA Model S Ludicrous Performance 4WD,2020,"94,000",51.990 €
Model S,Negro,TESLA Model S 75D 4WD,2018,"96,553",34.610 €
Model S,Rojo,TESLA Model S 75D 4WD,2017,"121,000",22.900 €
Model S,Rojo,TESLA Model S 90D 4WD,2017,"184,000",24.900 €
Model S,Rojo,TESLA Model S 75D 4WD,2019,"39,000",38.900 €
Model S,Rojo,TESLA Model S Autonomia Estandar 4WD,2014,"233,000",21.990 €
Model 3,Blanco,TESLA Model 3 Estandar Plus RWD,2020,"99,000",22.999 €
Model 3,Blanco,TESLA Model 3 Gran Autonomia AWD,2020,"72,000",28.000 €
Model 3,Blanco,TESLA Model 3 Gran Autonomia AWD,2021,"47,566",33.200 €
Model 3,Blanco,TESLA Model 3 Gran Autonomia AWD,2022,"57,525",33.998 €
Model 3,Blanco,TESLA Model 3 RWD,2022,"65,672",31.900 €
Model 3,Blanco,TESLA Model 3 Estandar Plus RWD,2021,"63,776",32.990 €
Model 3,Blanco,TESLA Model 3 Gran Autonomia RWD,2023,"9,500",39.999 €
Model 3,Granate,TESLA Model 3 Gran Autonomia AWD,2024,"16,700",44.900 €
Model 3,Granate,TESLA Model 3 Gran Autonomia AWD,2024,"16,700",44.900 €
Model 3,Granate,TESLA Model 3 Gran Autonomia AWD 4p.,2021,"86,300",29.990 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2023,12,37.990 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2023,12,37.990 €
Model 3,Gris/Plata,TESLA Model 3 Estandar Plus RWD,2020,"28,650",24.860 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2023,"55,852",38.390 €
Model 3,Gris/Plata,TESLA Model 3 Performance AWD,2019,"23,832",32.490 €
Model 3,Gris/Plata,TESLA Model 3 Gran Autonomia AWD,2022,"29,458",41.500 €
Model 3,Gris/Plata,TESLA Model 3 Estandar Plus RWD,2020,"38,000",26.890 €
