,Modelo,Precio,Color,Pais,Kilometraje,Velocidad
0,Model 3,36500.0,Azul,España,19700,377 kW (513 CV)
1,Model 3,29700.0,Azul,España,21318,324 kW (441 CV)
2,Model 3,25990.0,Azul,España,63000,324 kW (441 CV)
3,Model 3,21500.0,Azul,España,129446,239 kW (325 CV)
4,Model 3,25850.0,Azul,España,93000,350 kW (476 CV)
5,Model 3,28990.0,Azul,España,39413,324 kW (441 CV)
6,Model 3,25640.0,Azul,España,47479,239 kW (325 CV)
7,Model 3,26790.0,Azul,España,57671,208 kW (283 CV)
8,Model 3,25940.0,Azul,España,124839,324 kW (441 CV)
9,Model 3,27500.0,Azul,España,39000,324 kW (441 CV)
10,Model 3,38636.0,Azul,España,2490,208 kW (283 CV)
11,Model 3,28490.0,Azul,España,62000,208 kW (283 CV)
12,Model 3,28490.0,Azul,España,62000,208 kW (283 CV)
13,Model 3,26790.0,Azul,España,57671,208 kW (283 CV)
14,Model 3,28490.0,Azul,España,62000,208 kW (283 CV)
15,Model 3,28490.0,Azul,España,62000,208 kW (283 CV)
16,Model 3,25850.0,Azul,España,93000,350 kW (476 CV)
17,Model 3,28490.0,Azul,España,47479,239 kW (325 CV)
18,Model 3,28490.0,Azul,España,62000,208 kW (283 CV)
19,Model 3,25850.0,Azul,España,93000,350 kW (476 CV)
20,Model 3,25640.0,Azul,España,47479,239 kW (325 CV)
21,Model 3,28490.0,Azul,España,62000,208 kW (283 CV)
22,Model 3,26790.0,Azul,España,57671,208 kW (283 CV)
23,Model 3,28490.0,Azul,España,62000,208 kW (283 CV)
24,Model 3,25640.0,Azul,España,47479,239 kW (325 CV)
25,Model 3,26790.0,Azul,España,57671,208 kW (283 CV)
26,Model 3,27850.0,Azul,España,65000,202 kW (275 CV)
27,Model 3,26790.0,Azul,España,57671,208 kW (283 CV)
28,Model 3,27950.0,Azul,España,57000,202 kW (275 CV)
29,Model 3,28490.0,Azul,España,62000,208 kW (283 CV)
