Modelo,Precio (€),Año,Kilometraje (kms),Color,País,Hashtags
Tesla Model 3 Long Range AWD,"25,100",2019,"141,692",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #solid black color, #18"" aero wheels"
Tesla Model 3 Standard Range Plus,"26,900",2020,"45,691",Blue,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #deep blue metallic color, #19"" sport wheels"
Tesla Model 3 Performance,"27,900",2019,"72,649",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #red multi-coat color, #20"" performance wheels"
Tesla Model 3 Standard Range Plus,"28,800",2020,"54,847",Silver,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #midnight silver metallic col…, #18"" aero wheels"
Tesla Model 3 Long Range AWD,"28,500",2020,"94,337",White,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all white premium interior, #pearl white multi-coat color, #18"" aero wheels"
Tesla Model 3 Long Range AWD,"29,500",2020,"68,845",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #tow package, #18"" aero wheels"
Tesla Model 3 Long Range AWD,"29,600",2021,"136,792",White,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #white interior, #red multi-coat color"
Tesla Model 3 Long Range AWD,"29,800",2019,"65,352",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #midnight silver metallic col…, #18"" aero wheels"
Tesla Model 3 Standard Range Plus,"30,100",2021,"40,244",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black interior, #midnight silver metallic col…"
Tesla Model 3 Long Range AWD,"30,200",2020,"56,115",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #deep blue metallic color, #tow package, #19"" sport wheels"
Tesla Model 3 Long Range AWD,"30,800",2020,"53,808",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model 3 Long Range AWD,"30,800",2020,"52,917",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #18"" aero wheels"
Tesla Model 3 Long Range AWD,"31,000",2019,"45,587",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #midnight silver metallic col…, #18"" aero wheels"
Tesla Model 3 Performance,"31,200",2019,"35,858",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model 3 Long Range AWD,"31,300",2021,"103,272",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #deep blue metallic color"
Tesla Model 3 Long Range AWD,"31,300",2021,"106,571",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #midnight silver metallic col…"
Tesla Model 3 Long Range AWD,"31,300",2020,"49,251",Black,France,"#france, #acceleration boost, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model 3 Long Range AWD,"31,400",2019,"60,048",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #solid black color, #18"" aero wheels"
Tesla Model 3,"31,600",2022,"15,290",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black interior, #solid black color"
Tesla Model 3 Performance,"31,600",2020,"61,733",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #20"" gray performance wheels"
Tesla Model 3 Long Range AWD,"31,500",2021,"79,887",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #pearl white multi-coat color, #tow package"
Tesla Model 3 Performance,"31,700",2020,"46,586",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #midnight silver metallic col…, #20"" gray performance wheels"
Tesla Model 3 Performance,"32,200",2020,"44,365",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #20"" gray performance wheels"
Tesla Model 3 Performance,"32,200",2019,"63,570",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model 3 Long Range AWD,"32,300",2020,"55,927",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #tow package, #18"" aero wheels"
Tesla Model 3 Long Range AWD,"32,400",2021,"91,051",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #red multi-coat color, #tow package"
Tesla Model 3 Long Range AWD,"32,900",2020,"81,783",Black,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #solid black color, #tow package, #18"" aero wheels"
Tesla Model 3 Performance,"33,100",2020,"63,684",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #solid black color, #20"" gray performance wheels"
Tesla Model 3 Long Range AWD,"33,200",2021,"79,681",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #red multi-coat color"
Tesla Model 3 Long Range AWD,"33,300",2020,"65,224",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #pearl white multi-coat color, #18"" aero wheels"
Tesla Model 3 Long Range AWD,"33,700",2021,"76,126",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #pearl white multi-coat color, #tow package"
Tesla Model 3 Performance,"33,700",2021,"88,254",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #midnight silver metallic col…"
Tesla Model 3 Long Range AWD,"34,100",2021,"57,522",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #red multi-coat color"
Tesla Model 3 Performance,"34,500",2020,"40,623",White,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all white premium interior, #pearl white multi-coat color, #20"" gray performance wheels"
Tesla Model 3 Performance,"34,870",2019,"51,506",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #solid black color, #20"" performance wheels"
Tesla Model 3 Long Range AWD,"34,900",2021,"76,956",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #solid black color"
Tesla Model 3,"35,100",2023,"39,315",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black interior, #pearl white multi-coat color"
Tesla Model 3 Performance,"35,200",2020,"111,567",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #solid black color, #20"" gray performance wheels"
Tesla Model 3 Performance,"35,300",2021,"53,081",White,Spain,"#spain, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #white interior, #red multi-coat color"
Tesla Model 3,"35,380",2024,"6,671",Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #quicksilver color"
Tesla Model 3,"35,640",2024,"5,390",Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #quicksilver color"
Tesla Model 3,"35,700",2023,"26,036",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black interior, #red multi-coat color"
Tesla Model 3 Long Range AWD,"35,700",2021,"64,707",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #red multi-coat color"
Tesla Model 3,"35,720",2024,"4,991",Desconocido,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model 3 Performance,"35,800",2021,"90,951",White,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #white interior, #deep blue metallic color"
Tesla Model 3 Long Range AWD,"35,900",2021,"26,089",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #white interior, #red multi-coat color"
Tesla Model 3 Long Range AWD,"35,900",2021,"63,769",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #midnight silver metallic col…"
Tesla Model 3 Performance,"36,000",2020,"38,031",White,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all white premium interior, #red multi-coat color, #20"" gray performance wheels"
Tesla Model 3,"36,270",2024,"6,562",Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model 3 Long Range AWD,"36,300",2021,"42,189",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #white interior, #solid black color"
Tesla Model 3,"36,470",2025,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model 3,"36,470",2024,"5,580",Blue,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #deep blue metallic color, #tow package"
Tesla Model 3,"36,700",2024,"1,817",White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model 3,"36,740",2024,"7,210",Desconocido,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model 3 Performance,"39,200",2020,"30,295",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #midnight silver metallic col…, #20"" gray performance wheels"
Tesla Model 3,"37,000",2024,21,White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model 3 Long Range AWD,"37,000",2020,"22,191",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black premium interior, #deep blue metallic color, #19"" sport wheels"
Tesla Model 3 Long Range AWD,"37,100",2022,"30,168",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #red multi-coat color"
Tesla Model 3 Performance,"35,900",2021,"42,177",Black,France,"#france, #carbon fibre spoiler, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #red multi-coat color"
Tesla Model 3,"37,160",2024,"5,548",Desconocido,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #quicksilver color"
Tesla Model 3,"37,300",2024,676,White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model 3,"37,300",2024,692,White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model 3,"37,310",2024,"5,656",Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color"
Tesla Model 3,"37,500",2024,14,White,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model 3,"37,520",2025,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model 3,"37,770",2025,0,Blue,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color"
Tesla Model 3,"37,700",2023,"28,589",Black,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #all black interior, #solid black color"
Tesla Model 3 Long Range AWD,"37,900",2022,"20,049",Black,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #rear heated seats, #black interior, #deep blue metallic color"
Tesla Model 3,"38,070",2025,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
