Modelo,Precio (€),Año,Kilometraje (kms),Color,País,Hashtags
Tesla Model Y Long Range AWD,"38,500",2022,"43,516",Silver,France,"#france, #enhanced autopilot, #standard connectivity, #left hand drive, #midnight silver metallic col…, #19"" sport wheels"
Tesla Model Y Standard Range,"40,500",2024,"12,146",Desconocido,Spain,"#spain, #enhanced autopilot, #standard connectivity, #left hand drive, #quicksilver color, #20"" performance wheels"
Tesla Model Y Standard Range,"41,475",2025,0,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Standard Range,"41,475",2024,4,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Standard Range,"42,025",2024,"5,432",White,Portugal,"#portugal, #autopilot, #premium connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Standard Range,"42,180",2025,4,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Standard Range,"42,290",2025,4,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Standard Range,"42,555",2025,0,White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Standard Range,"42,605",2024,"3,749",White,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #tow package, #19"" sport wheels"
Tesla Model Y Standard Range,"42,645",2025,0,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color"
Tesla Model Y Standard Range,"42,645",2024,9,Blue,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #19"" sport wheels"
Tesla Model Y Standard Range,"42,750",2024,"5,950",Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color"
Tesla Model Y Standard Range,"43,090",2025,4,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
Tesla Model Y Long Range AWD,"43,100",2022,"71,294",Blue,France,"#france, #acceleration boost, #enhanced autopilot, #standard connectivity, #left hand drive, #deep blue metallic color, #tow package, #19"" sport wheels"
Tesla Model Y Standard Range,"43,440",2024,"2,798",Black,Spain,"#spain, #autopilot, #premium connectivity, #left hand drive, #solid black color"
Tesla Model Y Long Range AWD,"41,600",2022,"31,021",Black,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #solid black color, #19"" sport wheels"
Tesla Model Y Standard Range,"43,640",2025,5,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package"
Tesla Model Y Standard Range,"43,640",2024,0,Black,France,"#france, #autopilot, #standard connectivity, #left hand drive, #solid black color, #tow package, #19"" sport wheels"
Tesla Model Y Standard Range,"43,725",2025,5,Black,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #solid black color"
Tesla Model Y Standard Range,"43,815",2025,0,Desconocido,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #quicksilver color"
Tesla Model Y Standard Range,"43,815",2024,15,Desconocido,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #19"" sport wheels"
Tesla Model Y Standard Range,"43,815",2024,86,Desconocido,Portugal,"#portugal, #autopilot, #standard connectivity, #left hand drive, #quicksilver color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"43,900",2022,"35,338",White,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model Y Long Range AWD,"44,000",2022,"54,383",White,Portugal,"#portugal, #enhanced autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #19"" sport wheels"
Tesla Model Y Standard Range,"44,260",2025,0,White,Spain,"#spain, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color"
Tesla Model Y Standard Range,"44,280",2025,0,White,France,"#france, #autopilot, #standard connectivity, #left hand drive, #pearl white multi-coat color, #20"" performance wheels"
