Modelo,Precio (€),Año,Kilometraje (kms),Color,País
Tesla Model S 75D,"29,100",2018,"117,456",Negro,España
Tesla Model S 75D,"28,600",2018,"127,132",Negro,Francia
Tesla Model S 75D,"28,400",2018,"116,251",Negro,Francia
Tesla Model S 75D,"33,500",2018,"70,614",Negro,España
Tesla Model S 75D,"34,200",2018,"68,302",Negro,España
Tesla Model S 100D,"39,200",2018,"92,202",Negro,Francia
Tesla Model S 100D,"38,500",2018,"84,325",Negro,Francia
Tesla Model S 100D,"39,000",2018,"91,227",Negro,Francia
Tesla Model S Long Range,"42,000",2019,"102,621",Negro,Francia
Tesla Model S 100D,"44,000",2019,"96,688",Blanco,Francia
Tesla Model S Performance,"44,500",2019,"99,838",Negro,Francia
Tesla Model S Long Range,"46,500",2019,"56,744",Plata,Francia
Tesla Model S Performance,"44,700",2019,"90,274",Rojo,Francia
Tesla Model S Performance,"47,000",2019,"88,817",Plata,Francia
Tesla Model S Long Range,"53,500",2020,"96,181",Azul,Francia
Tesla Model S Long Range,"55,550",2020,"58,870",Azul,Francia
Tesla Model S,"79,500",2023,"13,178",Blanco,España
Tesla Model S,"80,600",2023,"12,410",Negro,España
Tesla Model S Plaid,"81,700",2023,"36,085",Blanco,España
Tesla Model S,"82,010",2023,"2,497",Blanco,España
Tesla Model S,"83,500",2023,"8,276",Negro,España
Tesla Model S,"84,070",2023,"3,414",Blanco,Francia
Tesla Model S,"84,400",2023,"6,300",Blanco,España
Tesla Model S,"86,500",2023,"3,269",Rojo,España
Tesla Model S Plaid,"87,400",2023,"15,040",Blanco,España
Tesla Model S,"87,410",2024,"5,165",Negro,Francia
Tesla Model S,"88,990",2023,"6,196",Azul,España
Tesla Model S,"89,450",2024,"1,063",Azul,Francia
Tesla Model S Plaid,"89,900",2023,"27,477",Negro,Francia
Tesla Model S,"90,450",2024,710,Blanco,Francia
Tesla Model S,"90,610",2024,792,Azul,España
Tesla Model S,"90,770",2024,551,Negro,España
Tesla Model S,"91,500",2024,879,Gris,España
Tesla Model S,"92,030",2024,28,Gris,España
Tesla Model S,"92,380",2024,31,Negro,Francia
Tesla Model S,"93,200",2024,42,Desconocido,Francia
Tesla Model S,"95,225",2024,"6,465",Blanco,Portugal
Tesla Model S,"96,325",2024,22,Rojo,Portugal
Tesla Model S,"97,750",2024,17,Desconocido,España
Tesla Model S,"98,875",2023,"1,035",Blanco,Portugal
Tesla Model S,"99,600",2023,503,Blanco,España
Tesla Model S Plaid,"101,360",2024,"5,313",Rojo,Francia
Tesla Model S Plaid,"101,480",2024,"3,652",Negro,España
Tesla Model S,"102,270",2023,0,Blanco,España
Tesla Model S,"102,280",2023,"1,011",Negro,Francia
Tesla Model S Plaid,"102,540",2023,"1,700",Negro,España
Tesla Model S,"102,580",2024,0,Gris,España
Tesla Model S Plaid,"102,710",2024,21,Rojo,Francia
Tesla Model S,"103,525",2023,0,Negro,Portugal
Tesla Model S Plaid,"110,380",2024,541,Negro,Francia
Tesla Model S Plaid,"111,850",2024,25,Desconocido,España
Tesla Model S Plaid,"115,290",2024,25,Blanco,Francia
Tesla Model S Plaid,"115,490",2024,18,Gris,Francia
Tesla Model S Plaid,"115,680",2024,21,Azul,España
Tesla Model S Plaid,"115,835",2024,"3,197",Rojo,Portugal
Tesla Model S Plaid,"115,925",2024,17,Blanco,Portugal
Tesla Model S Plaid,"116,120",2024,26,Gris,Francia
Tesla Model S Plaid,"117,100",2024,20,Gris,España
