Modelo,Año,Kilometraje (kms),Color,País,Precio Real (€),Precio Predicho (€)
1,2025,0.0,1,2,51325,52539.92
17,2025,0.0,4,0,53060,53738.112380952385
0,2024,353.0,6,0,42500,38215.2
1,2025,10.0,3,2,52625,53687.275
1,2021,,1,0,36300,35376.864285714284
1,2024,15.0,0,0,51110,50703.26666666667
1,2025,0.0,1,1,49990,51497.71666666667
0,2024,10.0,0,1,49980,40995.653333333335
18,2024,,1,0,45540,47023.75821428572
0,2025,0.0,2,0,39820,39465.57083333333
12,2019,,5,1,44500,51906.6619047619
11,2023,0.0,4,0,116170,94319.21666666666
1,2024,,4,2,50225,48347.14460317461
10,2024,541.0,4,1,110380,107178.13333333332
7,2018,,4,1,28400,30982.82619047619
19,2024,9.0,0,2,62825,61598.35
20,2024,,0,0,45990,44810.7
2,2025,536.0,3,1,46410,47696.15
1,2025,0.0,3,1,51290,52307.95999999999
0,2024,0.0,0,2,39675,40085.04023809524
16,2024,25.0,6,0,120270,116535.05
1,2024,,0,1,50190,49672.99333333333
0,2024,10.0,3,1,42640,41945.99015151516
0,2025,12.0,1,0,39420,37769.676190476195
17,2023,,1,0,48110,48659.96571428572
1,2024,20.0,1,0,52460,52228.55
17,2024,831.0,2,0,56230,57921.7
1,2025,0.0,1,2,51675,52539.92
1,2024,13.0,6,1,50430,53760.20000000001
0,2024,15.0,4,1,41050,42369.05
17,2025,0.0,2,1,50590,51071.23826839828
11,2024,20.0,0,2,115075,111140.9
17,2024,26.0,1,0,53050,55367.55
1,2019,,4,0,31400,31115.0761904762
1,2021,,4,1,32400,33721.63174603175
10,2024,17.0,1,2,115925,113656.15
17,2024,0.0,0,2,56215,53609.25666666667
3,2025,10.0,1,2,58475,60335.55
1,2025,0.0,4,1,52640,52387.99333333333
5,2023,,1,2,98875,98979.56
3,2024,0.0,6,2,61675,61647.51666666666
17,2024,7.0,1,1,52630,50630.86238095238
17,2024,4.0,6,1,55230,50425.47333333333
19,2025,5.0,2,1,60390,58202.65
0,2024,14.0,4,1,41290,43010.59285714285
17,2023,,4,1,48800,47254.3
1,2021,,4,1,31300,33721.63174603175
1,2020,,4,1,31300,32430.304761904772
11,2024,18.0,4,1,103050,115605.0
1,2025,0.0,1,1,52530,51497.71666666667
9,2019,,4,1,44500,44403.625
17,2025,0.0,4,1,51390,51522.96182539683
19,2022,,1,1,48800,49579.76833333333
11,2024,26.0,6,2,119525,116682.575
2,2023,,4,1,38400,41699.67777777778
20,2025,4.0,1,1,43090,43321.25
5,2024,792.0,0,0,90610,94274.45
19,2024,,1,0,55220,53709.01023809523
1,2024,12.0,6,2,55775,54547.62
1,2022,,4,0,37100,37201.461904761905
17,2024,145.0,4,1,49290,56487.275
17,2025,5.0,4,1,54280,52834.99
17,2024,12.0,4,0,53060,53989.31666666666
17,2025,0.0,2,1,51940,51071.23826839828
10,2024,26.0,3,1,116120,116075.15
19,2025,2.0,2,1,62930,57417.0
1,2020,,4,1,33300,32430.304761904772
19,2025,0.0,4,1,56640,55768.5
20,2025,5.0,4,1,43640,44070.2875
10,2023,,1,0,87400,89857.55
20,2025,0.0,1,2,41475,43270.64333333334
17,2024,,0,2,52635,53131.949523809526
1,2024,10.0,3,1,51290,56390.83333333332
1,2024,223.0,4,0,48570,49324.61666666667
18,2024,,4,2,51405,50904.218095238095
1,2020,,4,1,30200,32430.304761904772
11,2023,,4,0,84500,90392.31666666667
2,2025,0.0,4,0,42770,46044.3625
3,2020,,4,1,31700,34169.22341269841
10,2024,18.0,2,1,121690,115479.75
17,2024,0.0,4,1,47850,50473.03277777778
3,2024,19.0,0,1,62590,57935.5
0,2024,11.0,4,1,47430,42098.85
19,2024,12.0,6,1,56590,61390.0
3,2023,,4,1,47400,47390.43333333333
19,2024,9.0,2,1,56080,55541.75
0,2024,,2,0,35640,36514.728571428575
3,2024,,4,0,55390,54668.35833333334
5,2024,710.0,1,1,90450,93249.25
12,2018,,5,1,39500,46040.37857142857
20,2024,0.0,4,1,43640,44518.46976190476
1,2024,13.0,4,0,48360,52592.1
11,2023,26.0,5,1,117090,118499.15
0,2025,0.0,0,0,38820,38780.715476190475
1,2025,0.0,6,1,53340,52686.149999999994
11,2024,26.0,6,1,109200,115244.95
2,2025,0.0,1,0,41470,46205.03017676768
3,2023,,4,0,47700,47534.2
17,2024,12.0,1,2,51655,52771.54333333333
1,2021,,4,1,31500,33721.63174603175
0,2024,,0,0,36270,36726.55
17,2024,5.0,6,1,52690,50446.84
18,2025,0.0,0,0,49410,49447.64916666667
1,2024,,2,0,48660,48108.035198412705
3,2019,,4,1,27900,32448.00785714286
17,2022,,5,2,45500,41515.547344322345
1,2020,,4,1,30800,32430.304761904772
20,2025,4.0,4,1,42290,44129.4
3,2024,10.0,4,1,62590,60824.8
12,2018,,5,1,49900,46040.37857142857
17,2025,4.0,1,2,55455,52394.4625
0,2024,9.0,1,2,44025,42490.87333333333
1,2024,0.0,6,0,51810,50877.67761904762
2,2025,10.0,4,1,50090,48920.2
11,2023,26.0,5,2,120425,119344.4
1,2025,10.0,1,2,52525,52878.875
1,2024,223.0,1,0,48340,49235.30333333334
19,2024,179.0,6,0,58960,59150.2
0,2025,13.0,1,1,45140,43111.828095238096
3,2025,0.0,4,2,60975,60090.45
6,2018,,4,1,38500,38642.66904761904
0,2024,,2,0,35720,36514.728571428575
0,2024,,2,0,36740,36514.728571428575
11,2023,,4,0,84500,90392.31666666667
0,2025,0.0,2,0,38470,39465.57083333333
