Modelo,Año,Kilometraje (kms),Color,País,Precio Real (€),Precio Predicho (€)
1,2025,0,1,2,51325,52517.475000000006
17,2025,0,4,0,53060,54591.734007936524
0,2024,353,6,0,42500,42953.15
1,2025,10,3,2,52625,53165.075
1,2021,42189,1,0,36300,36075.5
1,2024,15,0,0,51110,50398.09090909091
1,2025,0,1,1,49990,51516.34041666667
0,2024,10,0,1,49980,43473.41873015873
18,2024,8099,1,0,45540,46130.25
0,2025,0,2,0,39820,39810.98363095238
12,2019,115609,5,1,44500,45851.0
11,2023,0,4,0,116170,108408.80833333333
1,2024,9327,4,2,50225,49107.3
10,2024,541,4,1,110380,103577.025
7,2018,116251,4,1,28400,31200.0
19,2024,9,0,2,62825,59124.235
20,2024,5128,0,0,45990,46186.4
2,2025,536,3,1,46410,47540.525
1,2025,0,3,1,51290,52318.32916666666
0,2024,0,0,2,39675,44317.89583333334
16,2024,25,6,0,120270,116772.9
1,2024,1412,0,1,50190,49180.3
0,2024,10,3,1,42640,44319.35
0,2025,12,1,0,39420,40146.82886904762
17,2023,7085,1,0,48110,52286.75
1,2024,20,1,0,52460,50245.40833333334
17,2024,831,2,0,56230,53818.6
1,2025,0,1,2,51675,52517.475000000006
1,2024,13,6,1,50430,54356.823333333334
0,2024,15,4,1,41050,42605.35
17,2025,0,2,1,50590,52076.08138888888
11,2024,20,0,2,115075,108596.2
17,2024,26,1,0,53050,60050.175
1,2019,60048,4,0,31400,33137.05
1,2021,91051,4,1,32400,32902.5
10,2024,17,1,2,115925,110899.4625
17,2024,0,0,2,56215,53892.2
3,2025,10,1,2,58475,57751.0
1,2025,0,4,1,52640,51970.48333333333
5,2023,1035,1,2,98875,98690.175
3,2024,0,6,2,61675,62035.54166666666
17,2024,7,1,1,52630,51062.59
17,2024,4,6,1,55230,54033.66666666665
19,2025,5,2,1,60390,57539.455
0,2024,14,4,1,41290,42985.575
17,2023,11184,4,1,48800,50259.18416666667
1,2021,106571,4,1,31300,32038.0
1,2020,49251,4,1,31300,31401.15
11,2024,18,4,1,103050,114495.3125
1,2025,0,1,1,52530,51516.34041666667
9,2019,99838,4,1,44500,44370.0
17,2025,0,4,1,51390,51514.04996392497
19,2022,20423,1,1,48800,49398.175
11,2024,26,6,2,119525,116582.2625
2,2023,36843,4,1,38400,41020.475
20,2025,4,1,1,43090,43799.675
5,2024,792,0,0,90610,90624.9
19,2024,2276,1,0,55220,50623.5
1,2024,12,6,2,55775,54535.01666666666
1,2022,30168,4,0,37100,38201.0
17,2024,145,4,1,49290,60215.05178571427
17,2025,5,4,1,54280,53092.3225
17,2024,12,4,0,53060,54439.69166666666
17,2025,0,2,1,51940,52076.08138888888
10,2024,26,3,1,116120,114954.75
19,2025,2,2,1,62930,57381.775
1,2020,65224,4,1,33300,30953.5
19,2025,0,4,1,56640,55624.901190476194
20,2025,5,4,1,43640,44864.16125
10,2023,15040,1,0,87400,85736.95
20,2025,0,1,2,41475,43636.565
17,2024,3709,0,2,52635,53600.325
1,2024,10,3,1,51290,56007.02488095238
1,2024,223,4,0,48570,51399.64166666666
18,2024,2545,4,2,51405,55169.180952380964
1,2020,56115,4,1,30200,31905.0
11,2023,11765,4,0,84500,89656.7
2,2025,0,4,0,42770,48456.23214285713
3,2020,46586,4,1,31700,32745.3
10,2024,18,2,1,121690,114155.925
17,2024,0,4,1,47850,53818.72519841271
3,2024,19,0,1,62590,58513.525
0,2024,11,4,1,47430,44441.075
19,2024,12,6,1,56590,58706.05
3,2023,12996,4,1,47400,48878.125
19,2024,9,2,1,56080,54784.39333333333
0,2024,5390,2,0,35640,37612.625
3,2024,1726,4,0,55390,54023.3
5,2024,710,1,1,90450,92268.875
12,2018,124003,5,1,39500,42750.0
20,2024,0,4,1,43640,49563.91666666667
1,2024,13,4,0,48360,52932.03333333333
11,2023,26,5,1,117090,115189.05
0,2025,0,0,0,38820,38764.51369047619
1,2025,0,6,1,53340,52351.52083333333
11,2024,26,6,1,109200,113518.625
2,2025,0,1,0,41470,49051.949472749475
3,2023,29444,4,0,47700,43922.5
17,2024,12,1,2,51655,54414.94
1,2021,79887,4,1,31500,33752.5
0,2024,6562,0,0,36270,37346.275
17,2024,5,6,1,52690,54094.5025
18,2025,0,0,0,49410,51405.38511904762
1,2024,1203,2,0,48660,49153.25
3,2019,72649,4,1,27900,32189.75
17,2022,36306,5,2,45500,43287.625
1,2020,52917,4,1,30800,31287.85
20,2025,4,4,1,42290,45340.3125
3,2024,10,4,1,62590,59678.04666666666
12,2018,52351,5,1,49900,49659.85
17,2025,4,1,2,55455,51677.92
0,2024,9,1,2,44025,45203.87
1,2024,0,6,0,51810,54711.47333333334
2,2025,10,4,1,50090,52348.49583333333
11,2023,26,5,2,120425,117309.525
1,2025,10,1,2,52525,52133.9
1,2024,223,1,0,48340,50516.85340909091
19,2024,179,6,0,58960,64823.075
0,2025,13,1,1,45140,42606.80511904762
3,2025,0,4,2,60975,57523.7
6,2018,84325,4,1,38500,38243.25
0,2024,4991,2,0,35720,37927.5
0,2024,7210,2,0,36740,36741.6
11,2023,16910,4,0,84500,84860.675
0,2025,0,2,0,38470,39810.98363095238
